Model,Image_ID,Attack,Is_Correct,Is_Success,L2_Distance
MobileNetV2,0,Baseline,1,0,0.0
MobileNetV2,0,FGSM,0,1,19.331954956054688
MobileNetV2,0,PGD,0,1,10.706869125366211
MobileNetV2,0,DeepFool,0,1,0.16471919417381287
MobileNetV2,0,C&W,0,1,16.118709564208984
MobileNetV2,0,T-IFGSM,0,1,8.41169548034668
MobileNetV2,1,Baseline,1,0,0.0
MobileNetV2,1,FGSM,0,1,19.39795684814453
MobileNetV2,1,PGD,0,1,10.548047065734863
MobileNetV2,1,DeepFool,0,1,0.09173998981714249
MobileNetV2,1,C&W,0,1,6.439492225646973
MobileNetV2,1,T-IFGSM,0,1,8.345071792602539
MobileNetV2,2,Baseline,1,0,0.0
MobileNetV2,2,FGSM,0,1,19.15105628967285
MobileNetV2,2,PGD,0,1,10.639711380004883
MobileNetV2,2,DeepFool,0,1,0.8787752389907837
MobileNetV2,2,C&W,1,0,29.80642318725586
MobileNetV2,2,T-IFGSM,0,1,8.444156646728516
MobileNetV2,3,Baseline,1,0,0.0
MobileNetV2,3,FGSM,0,1,19.3536376953125
MobileNetV2,3,PGD,0,1,10.717596054077148
MobileNetV2,3,DeepFool,0,1,0.005553899332880974
MobileNetV2,3,C&W,0,1,30.86652946472168
MobileNetV2,3,T-IFGSM,0,1,8.286117553710938
MobileNetV2,4,Baseline,1,0,0.0
MobileNetV2,4,FGSM,0,1,19.118425369262695
MobileNetV2,4,PGD,0,1,10.62543773651123
MobileNetV2,4,DeepFool,0,1,0.00857593398541212
MobileNetV2,4,C&W,0,1,29.696069717407227
MobileNetV2,4,T-IFGSM,0,1,8.271490097045898
MobileNetV2,5,Baseline,1,0,0.0
MobileNetV2,5,FGSM,0,1,18.56414794921875
MobileNetV2,5,PGD,0,1,10.469893455505371
MobileNetV2,5,DeepFool,0,1,0.3244767487049103
MobileNetV2,5,C&W,0,1,57.33945083618164
MobileNetV2,5,T-IFGSM,0,1,8.061224937438965
MobileNetV2,6,Baseline,1,0,0.0
MobileNetV2,6,FGSM,0,1,19.279979705810547
MobileNetV2,6,PGD,0,1,10.645620346069336
MobileNetV2,6,DeepFool,0,1,0.02020827680826187
MobileNetV2,6,C&W,0,1,26.149477005004883
MobileNetV2,6,T-IFGSM,0,1,8.381265640258789
MobileNetV2,7,Baseline,1,0,0.0
MobileNetV2,7,FGSM,0,1,17.073192596435547
MobileNetV2,7,PGD,0,1,9.942734718322754
MobileNetV2,7,DeepFool,1,0,0.05289362370967865
MobileNetV2,7,C&W,0,1,57.83820724487305
MobileNetV2,7,T-IFGSM,0,1,8.028002738952637
MobileNetV2,8,Baseline,1,0,0.0
MobileNetV2,8,FGSM,1,0,19.210012435913086
MobileNetV2,8,PGD,0,1,10.725728034973145
MobileNetV2,8,DeepFool,0,1,0.6138218641281128
MobileNetV2,8,C&W,0,1,62.77986145019531
MobileNetV2,8,T-IFGSM,0,1,8.388571739196777
MobileNetV2,9,Baseline,1,0,0.0
MobileNetV2,9,FGSM,0,1,19.390567779541016
MobileNetV2,9,PGD,0,1,10.867813110351562
MobileNetV2,9,DeepFool,0,1,0.027110302820801735
MobileNetV2,9,C&W,0,1,15.799834251403809
MobileNetV2,9,T-IFGSM,0,1,8.577394485473633
MobileNetV2,10,Baseline,1,0,0.0
MobileNetV2,10,FGSM,0,1,19.378673553466797
MobileNetV2,10,PGD,0,1,10.607635498046875
MobileNetV2,10,DeepFool,0,1,0.8847925662994385
MobileNetV2,10,C&W,0,1,24.862743377685547
MobileNetV2,10,T-IFGSM,0,1,8.404518127441406
MobileNetV2,11,Baseline,1,0,0.0
MobileNetV2,11,FGSM,0,1,19.23566436767578
MobileNetV2,11,PGD,0,1,10.713788032531738
MobileNetV2,11,DeepFool,0,1,0.019222207367420197
MobileNetV2,11,C&W,0,1,35.25868606567383
MobileNetV2,11,T-IFGSM,0,1,8.189229011535645
MobileNetV2,12,Baseline,1,0,0.0
MobileNetV2,12,FGSM,0,1,19.39696502685547
MobileNetV2,12,PGD,0,1,10.782167434692383
MobileNetV2,12,DeepFool,0,1,0.035000722855329514
MobileNetV2,12,C&W,0,1,7.245807647705078
MobileNetV2,12,T-IFGSM,0,1,8.369068145751953
MobileNetV2,13,Baseline,1,0,0.0
MobileNetV2,13,FGSM,0,1,19.398239135742188
MobileNetV2,13,PGD,0,1,10.886039733886719
MobileNetV2,13,DeepFool,0,1,0.0044632270000875
MobileNetV2,13,C&W,0,1,3.0007662773132324
MobileNetV2,13,T-IFGSM,0,1,8.3104248046875
MobileNetV2,14,Baseline,1,0,0.0
MobileNetV2,14,FGSM,0,1,19.393287658691406
MobileNetV2,14,PGD,0,1,10.79920482635498
MobileNetV2,14,DeepFool,0,1,0.2588459849357605
MobileNetV2,14,C&W,1,0,14.279731750488281
MobileNetV2,14,T-IFGSM,0,1,8.360296249389648
MobileNetV2,15,Baseline,1,0,0.0
MobileNetV2,15,FGSM,0,1,19.281583786010742
MobileNetV2,15,PGD,0,1,10.658087730407715
MobileNetV2,15,DeepFool,0,1,0.04186871275305748
MobileNetV2,15,C&W,0,1,34.867431640625
MobileNetV2,15,T-IFGSM,0,1,8.37635612487793
MobileNetV2,16,Baseline,1,0,0.0
MobileNetV2,16,FGSM,0,1,19.39743423461914
MobileNetV2,16,PGD,0,1,10.796359062194824
MobileNetV2,16,DeepFool,0,1,0.002328593982383609
MobileNetV2,16,C&W,0,1,7.968787670135498
MobileNetV2,16,T-IFGSM,0,1,8.33360767364502
MobileNetV2,17,Baseline,1,0,0.0
MobileNetV2,17,FGSM,0,1,19.325679779052734
MobileNetV2,17,PGD,0,1,10.694757461547852
MobileNetV2,17,DeepFool,0,1,0.02254161424934864
MobileNetV2,17,C&W,0,1,28.447805404663086
MobileNetV2,17,T-IFGSM,0,1,8.336613655090332
MobileNetV2,18,Baseline,1,0,0.0
MobileNetV2,18,FGSM,0,1,19.263139724731445
MobileNetV2,18,PGD,0,1,10.693862915039062
MobileNetV2,18,DeepFool,0,1,0.18887023627758026
MobileNetV2,18,C&W,0,1,28.683820724487305
MobileNetV2,18,T-IFGSM,0,1,8.623456001281738
MobileNetV2,19,Baseline,1,0,0.0
MobileNetV2,19,FGSM,0,1,19.367145538330078
MobileNetV2,19,PGD,0,1,10.77402114868164
MobileNetV2,19,DeepFool,0,1,0.009303632192313671
MobileNetV2,19,C&W,0,1,22.21059799194336
MobileNetV2,19,T-IFGSM,0,1,8.403702735900879
MobileNetV2,20,Baseline,1,0,0.0
MobileNetV2,20,FGSM,0,1,19.388803482055664
MobileNetV2,20,PGD,0,1,10.631030082702637
MobileNetV2,20,DeepFool,0,1,0.034614868462085724
MobileNetV2,20,C&W,0,1,17.03897476196289
MobileNetV2,20,T-IFGSM,0,1,8.289641380310059
MobileNetV2,21,Baseline,1,0,0.0
MobileNetV2,21,FGSM,0,1,19.38254737854004
MobileNetV2,21,PGD,0,1,10.73600959777832
MobileNetV2,21,DeepFool,0,1,0.02880626730620861
MobileNetV2,21,C&W,0,1,17.77756690979004
MobileNetV2,21,T-IFGSM,0,1,8.404081344604492
MobileNetV2,22,Baseline,1,0,0.0
MobileNetV2,22,FGSM,0,1,19.276201248168945
MobileNetV2,22,PGD,0,1,10.868509292602539
MobileNetV2,22,DeepFool,0,1,0.01699652522802353
MobileNetV2,22,C&W,0,1,23.177410125732422
MobileNetV2,22,T-IFGSM,0,1,8.415295600891113
MobileNetV2,23,Baseline,1,0,0.0
MobileNetV2,23,FGSM,0,1,19.325761795043945
MobileNetV2,23,PGD,0,1,10.670866012573242
MobileNetV2,23,DeepFool,0,1,0.0034795079845935106
MobileNetV2,23,C&W,0,1,23.30539321899414
MobileNetV2,23,T-IFGSM,0,1,8.163033485412598
MobileNetV2,24,Baseline,1,0,0.0
MobileNetV2,24,FGSM,0,1,19.30754280090332
MobileNetV2,24,PGD,0,1,10.663215637207031
MobileNetV2,24,DeepFool,0,1,0.04220564663410187
MobileNetV2,24,C&W,0,1,47.478275299072266
MobileNetV2,24,T-IFGSM,0,1,8.449789047241211
MobileNetV2,25,Baseline,1,0,0.0
MobileNetV2,25,FGSM,0,1,19.384748458862305
MobileNetV2,25,PGD,0,1,10.79978084564209
MobileNetV2,25,DeepFool,0,1,1.6959055662155151
MobileNetV2,25,C&W,1,0,21.205888748168945
MobileNetV2,25,T-IFGSM,0,1,8.436440467834473
MobileNetV2,26,Baseline,1,0,0.0
MobileNetV2,26,FGSM,0,1,19.244348526000977
MobileNetV2,26,PGD,0,1,10.714942932128906
MobileNetV2,26,DeepFool,0,1,0.6600291728973389
MobileNetV2,26,C&W,0,1,27.244773864746094
MobileNetV2,26,T-IFGSM,0,1,8.402060508728027
MobileNetV2,27,Baseline,1,0,0.0
MobileNetV2,27,FGSM,0,1,19.37331771850586
MobileNetV2,27,PGD,0,1,10.6883544921875
MobileNetV2,27,DeepFool,0,1,0.31986647844314575
MobileNetV2,27,C&W,0,1,15.317953109741211
MobileNetV2,27,T-IFGSM,0,1,8.430006980895996
MobileNetV2,28,Baseline,1,0,0.0
MobileNetV2,28,FGSM,0,1,19.191219329833984
MobileNetV2,28,PGD,0,1,10.620006561279297
MobileNetV2,28,DeepFool,0,1,0.003588250605389476
MobileNetV2,28,C&W,0,1,22.831632614135742
MobileNetV2,28,T-IFGSM,0,1,8.498132705688477
MobileNetV2,29,Baseline,1,0,0.0
MobileNetV2,29,FGSM,0,1,19.23946189880371
MobileNetV2,29,PGD,0,1,10.734917640686035
MobileNetV2,29,DeepFool,0,1,0.21157866716384888
MobileNetV2,29,C&W,0,1,28.308456420898438
MobileNetV2,29,T-IFGSM,1,1,8.162086486816406
MobileNetV2,30,Baseline,1,0,0.0
MobileNetV2,30,FGSM,0,1,19.346126556396484
MobileNetV2,30,PGD,0,1,10.747156143188477
MobileNetV2,30,DeepFool,0,1,0.333957701921463
MobileNetV2,30,C&W,0,1,19.99911880493164
MobileNetV2,30,T-IFGSM,0,0,8.369590759277344
MobileNetV2,31,Baseline,1,0,0.0
MobileNetV2,31,FGSM,0,1,19.063220977783203
MobileNetV2,31,PGD,0,1,10.652228355407715
MobileNetV2,31,DeepFool,0,1,0.00797482393682003
MobileNetV2,31,C&W,0,1,32.564186096191406
MobileNetV2,31,T-IFGSM,0,1,8.09812068939209
MobileNetV2,32,Baseline,1,0,0.0
MobileNetV2,32,FGSM,0,1,19.388429641723633
MobileNetV2,32,PGD,0,1,10.645567893981934
MobileNetV2,32,DeepFool,0,1,0.016575593501329422
MobileNetV2,32,C&W,0,1,19.86090850830078
MobileNetV2,32,T-IFGSM,0,1,8.450100898742676
MobileNetV2,33,Baseline,1,0,0.0
MobileNetV2,33,FGSM,0,1,19.094449996948242
MobileNetV2,33,PGD,0,1,10.648614883422852
MobileNetV2,33,DeepFool,0,1,0.028100835159420967
MobileNetV2,33,C&W,0,1,47.66862487792969
MobileNetV2,33,T-IFGSM,0,1,8.406941413879395
MobileNetV2,34,Baseline,1,0,0.0
MobileNetV2,34,FGSM,0,1,19.392494201660156
MobileNetV2,34,PGD,0,1,10.704567909240723
MobileNetV2,34,DeepFool,0,1,0.8756986856460571
MobileNetV2,34,C&W,0,1,18.250545501708984
MobileNetV2,34,T-IFGSM,0,1,8.384039878845215
MobileNetV2,35,Baseline,1,0,0.0
MobileNetV2,35,FGSM,0,1,19.00760269165039
MobileNetV2,35,PGD,0,1,10.5922212600708
MobileNetV2,35,DeepFool,0,1,0.021613944321870804
MobileNetV2,35,C&W,0,1,36.967525482177734
MobileNetV2,35,T-IFGSM,0,1,8.417948722839355
MobileNetV2,36,Baseline,1,0,0.0
MobileNetV2,36,FGSM,0,1,19.378095626831055
MobileNetV2,36,PGD,0,1,10.633103370666504
MobileNetV2,36,DeepFool,0,1,0.058340635150671005
MobileNetV2,36,C&W,0,1,18.60602569580078
MobileNetV2,36,T-IFGSM,0,1,8.79668140411377
MobileNetV2,37,Baseline,1,0,0.0
MobileNetV2,37,FGSM,0,1,19.380922317504883
MobileNetV2,37,PGD,0,1,10.674847602844238
MobileNetV2,37,DeepFool,0,1,0.000593317614402622
MobileNetV2,37,C&W,0,1,21.99683380126953
MobileNetV2,37,T-IFGSM,0,1,8.34970474243164
MobileNetV2,38,Baseline,1,0,0.0
MobileNetV2,38,FGSM,0,1,19.366302490234375
MobileNetV2,38,PGD,0,1,10.631244659423828
MobileNetV2,38,DeepFool,0,1,0.1723892241716385
MobileNetV2,38,C&W,0,1,16.88363265991211
MobileNetV2,38,T-IFGSM,0,1,8.3201322555542
MobileNetV2,39,Baseline,1,0,0.0
MobileNetV2,39,FGSM,0,1,19.331180572509766
MobileNetV2,39,PGD,0,1,10.576221466064453
MobileNetV2,39,DeepFool,0,1,2.5069010257720947
MobileNetV2,39,C&W,0,1,25.215635299682617
MobileNetV2,39,T-IFGSM,0,1,8.90389347076416
MobileNetV2,40,Baseline,1,0,0.0
MobileNetV2,40,FGSM,0,1,19.363130569458008
MobileNetV2,40,PGD,0,1,10.87770938873291
MobileNetV2,40,DeepFool,0,1,0.3514213263988495
MobileNetV2,40,C&W,0,1,24.366458892822266
MobileNetV2,40,T-IFGSM,0,1,8.513273239135742
MobileNetV2,41,Baseline,1,0,0.0
MobileNetV2,41,FGSM,0,1,19.32206153869629
MobileNetV2,41,PGD,0,1,10.87088680267334
MobileNetV2,41,DeepFool,0,1,0.10663936287164688
MobileNetV2,41,C&W,0,1,23.275367736816406
MobileNetV2,41,T-IFGSM,0,1,8.959171295166016
MobileNetV2,42,Baseline,1,0,0.0
MobileNetV2,42,FGSM,0,1,19.398550033569336
MobileNetV2,42,PGD,0,1,10.728959083557129
MobileNetV2,42,DeepFool,0,1,0.02910793013870716
MobileNetV2,42,C&W,0,1,22.129228591918945
MobileNetV2,42,T-IFGSM,0,1,8.24490737915039
MobileNetV2,43,Baseline,1,0,0.0
MobileNetV2,43,FGSM,0,1,19.396135330200195
MobileNetV2,43,PGD,0,1,10.682954788208008
MobileNetV2,43,DeepFool,0,1,0.017515720799565315
MobileNetV2,43,C&W,0,1,11.605076789855957
MobileNetV2,43,T-IFGSM,0,1,8.61373519897461
MobileNetV2,44,Baseline,1,0,0.0
MobileNetV2,44,FGSM,0,1,17.876718521118164
MobileNetV2,44,PGD,0,1,10.131915092468262
MobileNetV2,44,DeepFool,0,1,0.10126996040344238
MobileNetV2,44,C&W,0,1,53.69036102294922
MobileNetV2,44,T-IFGSM,0,1,8.29828929901123
MobileNetV2,45,Baseline,1,0,0.0
MobileNetV2,45,FGSM,0,1,18.95461082458496
MobileNetV2,45,PGD,0,1,10.470939636230469
MobileNetV2,45,DeepFool,0,1,0.030065948143601418
MobileNetV2,45,C&W,0,1,42.42738723754883
MobileNetV2,45,T-IFGSM,0,1,8.246637344360352
MobileNetV2,46,Baseline,1,0,0.0
MobileNetV2,46,FGSM,0,1,18.540334701538086
MobileNetV2,46,PGD,0,1,10.4929780960083
MobileNetV2,46,DeepFool,0,1,1.061423420906067
MobileNetV2,46,C&W,0,1,59.81312942504883
MobileNetV2,46,T-IFGSM,0,1,8.182007789611816
MobileNetV2,47,Baseline,1,0,0.0
MobileNetV2,47,FGSM,0,1,15.190072059631348
MobileNetV2,47,PGD,0,1,9.990306854248047
MobileNetV2,47,DeepFool,1,0,0.07008403539657593
MobileNetV2,47,C&W,0,1,74.01532745361328
MobileNetV2,47,T-IFGSM,0,1,8.125577926635742
MobileNetV2,48,Baseline,1,0,0.0
MobileNetV2,48,FGSM,0,1,19.397581100463867
MobileNetV2,48,PGD,0,1,10.68228530883789
MobileNetV2,48,DeepFool,0,1,0.019966868683695793
MobileNetV2,48,C&W,0,1,8.231111526489258
MobileNetV2,48,T-IFGSM,0,1,8.423391342163086
MobileNetV2,49,Baseline,1,0,0.0
MobileNetV2,49,FGSM,0,1,17.808879852294922
MobileNetV2,49,PGD,0,1,10.359164237976074
MobileNetV2,49,DeepFool,1,0,0.06746424734592438
MobileNetV2,49,C&W,0,1,51.20280456542969
MobileNetV2,49,T-IFGSM,0,1,8.395934104919434
MobileNetV2,50,Baseline,1,0,0.0
MobileNetV2,50,FGSM,0,1,19.396434783935547
MobileNetV2,50,PGD,0,1,10.848259925842285
MobileNetV2,50,DeepFool,0,1,0.024722455069422722
MobileNetV2,50,C&W,0,1,19.177297592163086
MobileNetV2,50,T-IFGSM,0,1,9.039977073669434
MobileNetV2,51,Baseline,1,0,0.0
MobileNetV2,51,FGSM,0,1,19.392248153686523
MobileNetV2,51,PGD,0,1,10.810669898986816
MobileNetV2,51,DeepFool,0,1,0.04454503208398819
MobileNetV2,51,C&W,0,1,26.394317626953125
MobileNetV2,51,T-IFGSM,0,1,8.59433364868164
MobileNetV2,52,Baseline,1,0,0.0
MobileNetV2,52,FGSM,0,1,18.397890090942383
MobileNetV2,52,PGD,0,1,10.33980941772461
MobileNetV2,52,DeepFool,0,1,0.05753166973590851
MobileNetV2,52,C&W,0,1,51.760047912597656
MobileNetV2,52,T-IFGSM,0,1,8.130107879638672
MobileNetV2,53,Baseline,1,0,0.0
MobileNetV2,53,FGSM,0,1,19.2883243560791
MobileNetV2,53,PGD,0,1,10.704629898071289
MobileNetV2,53,DeepFool,0,1,1.3416104316711426
MobileNetV2,53,C&W,0,1,23.08745574951172
MobileNetV2,53,T-IFGSM,0,1,8.512186050415039
MobileNetV2,54,Baseline,1,0,0.0
MobileNetV2,54,FGSM,0,1,19.274518966674805
MobileNetV2,54,PGD,0,1,10.65007495880127
MobileNetV2,54,DeepFool,0,1,7.426423072814941
MobileNetV2,54,C&W,0,1,26.511615753173828
MobileNetV2,54,T-IFGSM,0,1,8.537737846374512
MobileNetV2,55,Baseline,1,0,0.0
MobileNetV2,55,FGSM,0,1,19.367578506469727
MobileNetV2,55,PGD,0,1,10.701000213623047
MobileNetV2,55,DeepFool,0,1,0.03274712711572647
MobileNetV2,55,C&W,0,1,20.10851287841797
MobileNetV2,55,T-IFGSM,0,1,8.773507118225098
MobileNetV2,56,Baseline,1,0,0.0
MobileNetV2,56,FGSM,0,1,19.3895206451416
MobileNetV2,56,PGD,0,1,10.682221412658691
MobileNetV2,56,DeepFool,0,1,0.0452665351331234
MobileNetV2,56,C&W,0,1,25.390945434570312
MobileNetV2,56,T-IFGSM,0,1,8.542898178100586
MobileNetV2,57,Baseline,1,0,0.0
MobileNetV2,57,FGSM,0,1,19.31235122680664
MobileNetV2,57,PGD,0,1,10.691067695617676
MobileNetV2,57,DeepFool,0,1,0.144131600856781
MobileNetV2,57,C&W,0,1,35.14659118652344
MobileNetV2,57,T-IFGSM,0,1,8.556772232055664
MobileNetV2,58,Baseline,1,0,0.0
MobileNetV2,58,FGSM,0,1,19.288185119628906
MobileNetV2,58,PGD,0,1,10.714642524719238
MobileNetV2,58,DeepFool,0,1,0.014523185789585114
MobileNetV2,58,C&W,0,1,22.83171272277832
MobileNetV2,58,T-IFGSM,0,1,8.705135345458984
MobileNetV2,59,Baseline,1,0,0.0
MobileNetV2,59,FGSM,0,1,18.488588333129883
MobileNetV2,59,PGD,0,1,10.467313766479492
MobileNetV2,59,DeepFool,0,1,0.04842858761548996
MobileNetV2,59,C&W,0,1,39.14774703979492
MobileNetV2,59,T-IFGSM,0,1,8.515778541564941
MobileNetV2,60,Baseline,1,0,0.0
MobileNetV2,60,FGSM,0,1,19.004375457763672
MobileNetV2,60,PGD,0,1,10.680730819702148
MobileNetV2,60,DeepFool,0,1,0.9008884429931641
MobileNetV2,60,C&W,0,1,41.833961486816406
MobileNetV2,60,T-IFGSM,0,1,8.444390296936035
MobileNetV2,61,Baseline,1,0,0.0
MobileNetV2,61,FGSM,0,1,19.229820251464844
MobileNetV2,61,PGD,0,1,10.739167213439941
MobileNetV2,61,DeepFool,0,1,0.09484530240297318
MobileNetV2,61,C&W,0,1,30.15286636352539
MobileNetV2,61,T-IFGSM,0,1,8.582016944885254
MobileNetV2,62,Baseline,1,0,0.0
MobileNetV2,62,FGSM,0,1,19.39745330810547
MobileNetV2,62,PGD,0,1,10.854135513305664
MobileNetV2,62,DeepFool,0,1,0.02433134615421295
MobileNetV2,62,C&W,0,1,10.42994213104248
MobileNetV2,62,T-IFGSM,0,1,8.606097221374512
MobileNetV2,63,Baseline,1,0,0.0
MobileNetV2,63,FGSM,0,1,19.313264846801758
MobileNetV2,63,PGD,0,1,10.672983169555664
MobileNetV2,63,DeepFool,0,1,0.0011178191052749753
MobileNetV2,63,C&W,0,1,24.654312133789062
MobileNetV2,63,T-IFGSM,0,1,8.378451347351074
MobileNetV2,64,Baseline,1,0,0.0
MobileNetV2,64,FGSM,0,1,19.38055992126465
MobileNetV2,64,PGD,0,1,10.793794631958008
MobileNetV2,64,DeepFool,0,1,0.006559031084179878
MobileNetV2,64,C&W,0,1,21.346328735351562
MobileNetV2,64,T-IFGSM,0,1,8.39289379119873
MobileNetV2,65,Baseline,1,0,0.0
MobileNetV2,65,FGSM,0,1,19.36943817138672
MobileNetV2,65,PGD,0,1,10.701231956481934
MobileNetV2,65,DeepFool,0,1,1.772310495376587
MobileNetV2,65,C&W,1,0,17.43212127685547
MobileNetV2,65,T-IFGSM,0,1,8.420844078063965
MobileNetV2,66,Baseline,1,0,0.0
MobileNetV2,66,FGSM,0,1,19.33884048461914
MobileNetV2,66,PGD,0,1,10.697750091552734
MobileNetV2,66,DeepFool,0,1,0.01902521587908268
MobileNetV2,66,C&W,0,1,33.3449592590332
MobileNetV2,66,T-IFGSM,0,1,8.498796463012695
MobileNetV2,67,Baseline,1,0,0.0
MobileNetV2,67,FGSM,0,1,19.374401092529297
MobileNetV2,67,PGD,0,1,10.835951805114746
MobileNetV2,67,DeepFool,0,1,0.48800453543663025
MobileNetV2,67,C&W,0,1,16.21824073791504
MobileNetV2,67,T-IFGSM,0,1,8.642834663391113
MobileNetV2,68,Baseline,1,0,0.0
MobileNetV2,68,FGSM,0,1,19.398317337036133
MobileNetV2,68,PGD,0,1,10.713518142700195
MobileNetV2,68,DeepFool,0,1,0.6303108930587769
MobileNetV2,68,C&W,0,1,7.798732757568359
MobileNetV2,68,T-IFGSM,0,1,8.471423149108887
MobileNetV2,69,Baseline,1,0,0.0
MobileNetV2,69,FGSM,0,1,19.308856964111328
MobileNetV2,69,PGD,0,1,10.702526092529297
MobileNetV2,69,DeepFool,0,1,0.043235182762145996
MobileNetV2,69,C&W,1,0,31.803293228149414
MobileNetV2,69,T-IFGSM,0,1,8.730932235717773
MobileNetV2,70,Baseline,1,0,0.0
MobileNetV2,70,FGSM,0,1,19.395936965942383
MobileNetV2,70,PGD,0,1,10.596149444580078
MobileNetV2,70,DeepFool,0,1,0.03734562546014786
MobileNetV2,70,C&W,0,1,10.591462135314941
MobileNetV2,70,T-IFGSM,0,1,8.381479263305664
MobileNetV2,71,Baseline,1,0,0.0
MobileNetV2,71,FGSM,0,1,19.353185653686523
MobileNetV2,71,PGD,0,1,10.79853343963623
MobileNetV2,71,DeepFool,0,1,0.013091525994241238
MobileNetV2,71,C&W,0,1,20.951330184936523
MobileNetV2,71,T-IFGSM,0,1,8.39261245727539
MobileNetV2,72,Baseline,1,0,0.0
MobileNetV2,72,FGSM,0,1,19.05487060546875
MobileNetV2,72,PGD,0,1,10.724483489990234
MobileNetV2,72,DeepFool,0,1,3.153137445449829
MobileNetV2,72,C&W,0,1,30.695804595947266
MobileNetV2,72,T-IFGSM,0,1,8.505497932434082
MobileNetV2,73,Baseline,1,0,0.0
MobileNetV2,73,FGSM,0,1,19.398427963256836
MobileNetV2,73,PGD,0,1,10.709735870361328
MobileNetV2,73,DeepFool,0,1,0.00017367427062708884
MobileNetV2,73,C&W,0,1,5.4155378341674805
MobileNetV2,73,T-IFGSM,0,1,8.451001167297363
MobileNetV2,74,Baseline,1,0,0.0
MobileNetV2,74,FGSM,0,1,19.297990798950195
MobileNetV2,74,PGD,0,1,10.662725448608398
MobileNetV2,74,DeepFool,0,1,0.18118220567703247
MobileNetV2,74,C&W,0,1,26.721261978149414
MobileNetV2,74,T-IFGSM,0,1,8.707640647888184
MobileNetV2,75,Baseline,1,0,0.0
MobileNetV2,75,FGSM,0,1,19.397619247436523
MobileNetV2,75,PGD,0,1,10.739224433898926
MobileNetV2,75,DeepFool,0,1,0.08057896792888641
MobileNetV2,75,C&W,0,1,13.57860279083252
